t=510809 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.18,-0.68,-2.60) | IMU2 a=(9.83,0.54,78.45
t=510929 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.18,-0.68,-2.60) | IMU2 a=(9.84,0.55,78.45
t=511049 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.18,-0.68,-2.57) | IMU2 a=(9.83,0.54,78.45
t=511169 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.19,-0.65,-2.55) | IMU2 a=(9.82,0.56,78.45
t=511289 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.19,-0.68,-2.57) | IMU2 a=(9.83,0.56,78.45
t=511409 | GPS=OK Fix=1 | Lat=-35.28 Lng=149.12 Alt=588.60 Spd=0.00 | IMU1 a=(10.18,-0.68,-2.55) | IMU2 a=(9.83,0.55,78.45
t=511529 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.18,-0.68,-2.56) | IMU2 a=(9.85,0.54,78.45
t=511649 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.18,-0.68,-2.58) | IMU2 a=(9.82,0.52,78.45
t=511769 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.21,-0.68,-2.56) | IMU2 a=(9.81,0.57,78.45
t=511889 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.20,-0.68,-2.55) | IMU2 a=(9.83,0.56,78.45
t=512009 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.18,-0.68,-2.56) | IMU2 a=(9.82,0.55,78.45
